month,time,qc_val,TL_MDT
2,1/10/2023,23.38758194,23.36120292
3,1/11/2023,24.81073586,24.38530954
4,1/12/2023,26.95680718,26.20713973
5,1/01/2024,28.6350207,28.17992701
6,1/02/2024,28.53256245,28.52343115
7,1/03/2024,27.08792906,27.46692974
8,1/04/2024,25.96440285,26.12599806
9,1/05/2024,23.57828924,24.227009
10,1/06/2024,22.32032,23.35007252
